t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,-52.7954,-36.3159,-60.73,-27.4658,-26.5503,-32.0435,-31.7383,-25.9399,-41.1987,-29.6021,-30.8228,-33.5693,-25.3296,-38.4521,-31.7383,-29.9072,-32.959,-31.7383,-36.9263,-49.1333
5e-05,-53.1006,-36.3159,-60.73,-27.771,-26.2451,-32.0435,-31.4331,-26.2451,-41.1987,-29.9072,-30.2124,-32.959,-25.0244,-38.4521,-31.7383,-29.2969,-32.959,-31.4331,-37.2314,-49.1333
0.0001,-52.7954,-36.6211,-60.4248,-27.771,-26.8555,-31.7383,-31.7383,-25.6348,-40.8936,-29.6021,-30.2124,-33.2642,-24.7192,-38.147,-31.1279,-29.9072,-33.2642,-31.4331,-36.6211,-48.8281
0.00015,-53.1006,-36.6211,-60.73,-27.771,-26.8555,-31.7383,-31.7383,-26.2451,-40.5884,-29.6021,-30.2124,-32.959,-25.0244,-37.8418,-31.7383,-30.2124,-33.2642,-31.4331,-36.9263,-48.8281
0.0002,-53.1006,-36.6211,-60.4248,-28.0762,-26.5503,-31.1279,-32.0435,-26.2451,-40.8936,-29.9072,-30.2124,-33.5693,-24.4141,-38.147,-31.4331,-29.6021,-33.2642,-31.4331,-36.6211,-48.8281
0.00025,-52.4902,-36.3159,-60.1196,-27.4658,-26.8555,-31.7383,-32.3486,-25.9399,-40.5884,-29.9072,-30.5176,-32.959,-24.7192,-38.147,-31.7383,-30.2124,-33.2642,-31.7383,-36.3159,-49.1333
0.0003,-52.4902,-36.3159,-60.73,-27.771,-26.8555,-31.4331,-32.3486,-25.9399,-40.5884,-29.9072,-30.5176,-33.5693,-24.4141,-38.147,-31.7383,-29.9072,-32.959,-31.4331,-36.6211,-49.1333
0.00035,-52.1851,-36.6211,-60.4248,-27.4658,-27.1606,-31.7383,-32.959,-25.9399,-40.2832,-29.2969,-30.8228,-33.5693,-25.0244,-38.147,-31.7383,-29.9072,-33.2642,-31.7383,-36.6211,-49.1333
0.0004,-52.1851,-36.3159,-60.73,-27.771,-26.8555,-31.4331,-32.6538,-26.2451,-40.2832,-29.6021,-30.8228,-33.5693,-24.7192,-37.5366,-32.0435,-30.2124,-33.2642,-31.4331,-36.9263,-48.5229
0.00045,-52.1851,-36.3159,-60.73,-27.4658,-27.4658,-31.4331,-33.2642,-25.9399,-40.2832,-29.6021,-31.1279,-33.8745,-25.3296,-38.147,-31.4331,-30.2124,-33.2642,-31.7383,-36.6211,-48.2178
0.0005,-51.5747,-36.3159,-61.0352,-27.4658,-27.1606,-32.0435,-33.2642,-25.9399,-40.2832,-29.2969,-30.8228,-33.8745,-25.3296,-37.5366,-31.4331,-30.2124,-33.2642,-31.4331,-36.6211,-48.2178
0.00055,-51.8799,-36.6211,-61.0352,-27.771,-27.4658,-32.0435,-32.959,-26.2451,-40.5884,-29.6021,-30.8228,-33.8745,-25.3296,-37.8418,-30.8228,-29.9072,-33.2642,-31.1279,-36.0107,-48.2178
0.0006,-51.8799,-36.6211,-61.0352,-27.771,-27.1606,-32.0435,-33.2642,-26.2451,-40.2832,-28.9917,-30.8228,-33.8745,-25.0244,-38.147,-31.1279,-30.2124,-33.5693,-31.1279,-36.0107,-47.9126
0.00065,-51.8799,-36.6211,-61.3403,-28.0762,-26.8555,-31.7383,-32.6538,-26.8555,-40.5884,-29.6021,-30.5176,-34.1797,-25.0244,-38.147,-31.1279,-29.6021,-32.959,-30.8228,-36.3159,-47.6074
0.0007,-52.1851,-36.6211,-61.3403,-27.4658,-26.8555,-32.0435,-32.959,-25.9399,-40.2832,-29.2969,-31.1279,-34.1797,-25.0244,-38.147,-31.4331,-29.9072,-32.959,-30.8228,-36.0107,-48.2178
0.00075,-51.8799,-36.6211,-61.3403,-27.771,-26.8555,-32.0435,-32.6538,-26.8555,-40.5884,-29.6021,-30.5176,-33.8745,-24.7192,-37.8418,-31.4331,-29.9072,-32.959,-30.8228,-36.0107,-47.9126
0.0008,-52.1851,-36.9263,-61.6455,-27.771,-26.8555,-32.3486,-32.959,-26.5503,-40.2832,-29.2969,-30.8228,-34.1797,-24.4141,-37.8418,-31.1279,-29.9072,-32.959,-30.8228,-35.7056,-48.5229
0.00085,-52.4902,-36.9263,-61.0352,-27.4658,-26.2451,-32.0435,-32.6538,-26.8555,-40.5884,-29.6021,-30.2124,-33.8745,-24.7192,-37.5366,-31.4331,-29.9072,-32.959,-30.8228,-36.0107,-48.5229
0.0009,-52.1851,-36.9263,-61.0352,-27.4658,-26.5503,-32.6538,-31.7383,-26.8555,-40.5884,-29.6021,-30.8228,-34.1797,-24.4141,-37.8418,-31.1279,-29.2969,-32.6538,-31.1279,-36.0107,-48.5229
0.00095,-52.1851,-36.9263,-61.3403,-27.4658,-26.2451,-32.6538,-32.0435,-26.2451,-40.2832,-29.2969,-30.5176,-33.5693,-24.7192,-37.8418,-31.4331,-29.2969,-32.6538,-31.1279,-36.3159,-48.8281
0.001,-52.1851,-36.6211,-61.0352,-28.0762,-26.5503,-32.3486,-32.3486,-26.5503,-40.5884,-29.2969,-30.8228,-33.8745,-24.4141,-37.8418,-32.0435,-29.2969,-32.959,-31.1279,-36.3159,-48.5229
0.00105,-52.1851,-36.6211,-61.3403,-27.771,-26.5503,-32.6538,-32.6538,-26.2451,-40.8936,-28.6865,-30.8228,-33.2642,-24.7192,-37.5366,-32.0435,-30.2124,-32.959,-31.4331,-36.9263,-48.5229
0.0011,-52.7954,-36.6211,-61.0352,-27.771,-26.2451,-32.3486,-32.3486,-26.2451,-40.8936,-28.9917,-30.8228,-33.8745,-24.7192,-37.5366,-32.3486,-29.9072,-33.2642,-31.1279,-37.2314,-48.2178
0.00115,-52.4902,-36.9263,-61.3403,-28.0762,-26.5503,-32.6538,-32.0435,-25.9399,-40.8936,-29.2969,-31.4331,-33.8745,-25.0244,-37.8418,-31.7383,-29.9072,-32.6538,-31.7383,-37.2314,-48.8281
0.0012,-53.1006,-36.6211,-61.6455,-28.0762,-25.9399,-32.6538,-32.6538,-25.9399,-41.8091,-29.6021,-31.1279,-33.8745,-25.0244,-37.5366,-32.0435,-30.2124,-32.959,-31.4331,-37.2314,-48.8281
0.00125,-52.4902,-37.2314,-61.6455,-28.3813,-26.5503,-32.959,-32.6538,-26.2451,-42.1143,-28.9917,-31.7383,-34.1797,-25.0244,-37.5366,-32.0435,-30.2124,-32.959,-31.7383,-36.6211,-48.8281
0.0013,-52.7954,-37.2314,-61.9507,-28.0762,-25.9399,-32.6538,-32.959,-25.9399,-41.5039,-29.2969,-31.4331,-33.5693,-25.0244,-37.5366,-32.3486,-30.5176,-33.2642,-31.7383,-37.5366,-48.5229
0.00135,-52.7954,-37.2314,-61.6455,-27.771,-26.5503,-32.6538,-32.959,-25.9399,-42.1143,-29.2969,-31.7383,-33.8745,-24.4141,-37.8418,-32.6538,-30.5176,-32.959,-32.0435,-36.9263,-48.2178
0.0014,-52.4902,-36.9263,-61.9507,-27.771,-26.5503,-32.6538,-32.6538,-25.6348,-41.5039,-29.2969,-31.7383,-33.2642,-24.7192,-37.8418,-32.0435,-30.2124,-32.3486,-32.3486,-36.9263,-48.2178
0.00145,-52.4902,-36.6211,-61.3403,-27.4658,-26.5503,-32.6538,-32.959,-25.6348,-42.1143,-29.2969,-31.1279,-33.5693,-24.4141,-37.8418,-32.3486,-30.5176,-32.959,-32.3486,-36.9263,-47.6074
0.0015,-52.4902,-36.9263,-61.9507,-27.771,-26.5503,-32.3486,-32.6538,-25.9399,-41.1987,-28.6865,-30.8228,-33.5693,-24.1089,-37.8418,-32.3486,-30.2124,-32.959,-32.3486,-36.9263,-47.9126
0.00155,-52.1851,-36.6211,-61.9507,-27.1606,-25.9399,-32.3486,-32.6538,-25.6348,-40.8936,-29.6021,-30.5176,-33.5693,-24.4141,-37.2314,-32.6538,-30.2124,-32.6538,-32.6538,-37.2314,-47.3022
0.0016,-51.8799,-36.6211,-61.6455,-27.4658,-25.9399,-32.959,-32.6538,-25.9399,-40.5884,-29.6021,-30.8228,-33.5693,-24.1089,-37.5366,-32.6538,-29.6021,-32.959,-32.6538,-36.9263,-47.3022
0.00165,-51.8799,-36.3159,-61.9507,-27.4658,-25.9399,-32.959,-32.0435,-25.3296,-40.5884,-29.6021,-29.9072,-33.5693,-24.4141,-37.8418,-32.6538,-29.6021,-32.0435,-32.0435,-36.9263,-47.9126
0.0017,-51.2695,-36.0107,-62.2559,-27.4658,-26.2451,-33.2642,-32.6538,-25.9399,-40.5884,-29.6021,-30.2124,-33.2642,-24.1089,-37.5366,-32.6538,-29.6021,-32.959,-31.7383,-36.6211,-47.6074
0.00175,-51.5747,-36.6211,-61.9507,-27.4658,-25.6348,-32.6538,-32.3486,-25.9399,-39.978,-29.2969,-30.8228,-32.6538,-24.7192,-37.5366,-32.0435,-29.2969,-32.6538,-31.1279,-36.6211,-47.9126
0.0018,-51.2695,-36.3159,-61.3403,-27.4658,-25.6348,-32.959,-31.7383,-25.6348,-40.5884,-29.2969,-30.8228,-33.2642,-25.0244,-37.5366,-32.3486,-28.9917,-32.959,-31.7383,-36.3159,-47.6074
0.00185,-51.5747,-36.0107,-61.6455,-27.4658,-25.6348,-33.2642,-32.0435,-25.6348,-39.978,-28.9917,-30.8228,-33.2642,-25.0244,-38.147,-31.7383,-28.6865,-32.6538,-31.1279,-36.3159,-47.6074
0.0019,-51.5747,-36.3159,-61.0352,-27.4658,-25.6348,-32.959,-31.7383,-25.6348,-40.5884,-29.2969,-30.5176,-33.2642,-25.0244,-37.8418,-32.0435,-28.9917,-32.3486,-31.4331,-36.3159,-47.9126
0.00195,-51.8799,-36.3159,-61.6455,-27.771,-25.9399,-32.959,-32.0435,-25.9399,-40.8936,-28.9917,-30.8228,-33.2642,-25.0244,-37.8418,-32.3486,-29.2969,-32.6538,-31.4331,-36.0107,-48.2178
0.002,-52.1851,-36.3159,-61.3403,-27.771,-25.6348,-31.7383,-31.7383,-25.6348,-40.5884,-29.2969,-30.8228,-32.959,-25.0244,-38.147,-31.7383,-28.9917,-32.3486,-32.0435,-36.6211,-48.2178
0.00205,-52.1851,-36.9263,-61.6455,-27.1606,-25.9399,-32.0435,-32.0435,-25.9399,-40.8936,-29.6021,-31.4331,-33.5693,-24.4141,-37.8418,-32.0435,-29.2969,-32.3486,-32.0435,-36.3159,-48.2178
0.0021,-52.4902,-36.3159,-61.6455,-27.4658,-25.6348,-32.0435,-32.3486,-25.9399,-40.8936,-29.6021,-31.1279,-32.959,-25.3296,-38.4521,-31.4331,-29.2969,-31.7383,-32.0435,-36.9263,-48.8281
0.00215,-52.1851,-36.9263,-61.9507,-27.771,-25.9399,-32.3486,-32.0435,-25.6348,-40.8936,-29.6021,-30.8228,-33.2642,-24.4141,-37.8418,-32.0435,-30.2124,-31.7383,-32.0435,-36.6211,-48.8281
0.0022,-52.1851,-37.2314,-62.2559,-28.0762,-25.9399,-32.3486,-32.3486,-26.2451,-40.5884,-29.2969,-30.8228,-33.2642,-24.7192,-38.147,-32.0435,-30.2124,-32.0435,-31.4331,-37.2314,-48.8281
0.00225,-52.4902,-37.2314,-61.9507,-28.3813,-25.6348,-32.3486,-31.7383,-25.9399,-40.8936,-29.6021,-30.5176,-33.2642,-25.0244,-38.147,-32.3486,-30.5176,-31.7383,-32.0435,-37.2314,-48.5229
