t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-24.4141,-65.918,-84.2285,-186.157,-121.155,-187.378,-312.805,-236.206,-144.653,-118.713,-182.495,-88.1958,-91.5527,-130.615,-96.1304
5.00E-05,-24.1089,-66.2231,-84.8389,-186.462,-121.46,-187.988,-312.195,-236.511,-144.653,-118.103,-182.8,-87.5854,-91.5527,-130.31,-96.1304
0.0001,-24.1089,-66.5283,-85.144,-186.462,-122.07,-188.599,-312.5,-236.511,-144.043,-118.103,-183.411,-87.5854,-91.5527,-130.005,-95.8252
0.00015,-24.1089,-66.2231,-85.144,-186.462,-122.681,-188.904,-312.805,-236.816,-144.653,-117.798,-183.411,-86.9751,-91.2476,-130.005,-96.1304
0.0002,-23.8037,-66.2231,-86.0596,-186.462,-122.986,-189.514,-312.805,-236.816,-144.653,-117.798,-183.105,-86.3647,-90.9424,-130.005,-95.8252
0.00025,-23.4985,-66.2231,-86.0596,-186.462,-123.901,-189.209,-312.5,-237.427,-144.348,-117.188,-183.105,-86.3647,-90.9424,-129.7,-95.8252
0.0003,-23.4985,-65.918,-86.0596,-186.768,-124.512,-189.514,-312.805,-237.732,-144.348,-116.577,-183.411,-86.0596,-90.9424,-129.7,-95.8252
0.00035,-23.8037,-65.918,-85.7544,-187.073,-125.122,-190.125,-312.805,-238.342,-144.653,-116.577,-183.411,-86.0596,-91.5527,-130.31,-95.52
0.0004,-23.4985,-66.2231,-86.0596,-187.378,-125.427,-189.209,-312.805,-238.647,-144.958,-115.967,-183.105,-86.0596,-91.8579,-130.31,-95.52
0.00045,-23.4985,-65.918,-85.7544,-187.073,-125.732,-189.514,-312.805,-238.342,-144.958,-115.967,-182.495,-85.7544,-91.5527,-130.31,-95.2148
0.0005,-23.4985,-66.2231,-85.7544,-187.073,-126.038,-189.209,-311.89,-238.953,-144.958,-115.356,-182.19,-85.7544,-91.2476,-130.31,-95.2148
